nombre,precio,formato,fuentepoder,ubfuente,panellateral,link,imagen
Lian Li Lancool One Digital - White,89.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60872-lian-li-lancool-one-digital-white,https://s3.amazonaws.com/solotodo-core/media/cache/62/f5/62f58d29ce0164f0f8a14dfab83bc931.png
In Win 301C - Black,89.990,Micro ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/49226-in-win-301c-black,https://s3.amazonaws.com/solotodo-core/media/cache/43/1d/431d1b99793bcb65cc62d79f06a267df.png
Thermaltake View 37 ARGB Edition (CA-1J7-00M1WN-04),89.984,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/63847-thermaltake-view-37-argb-edition-ca-1j7-00m1wn-04,https://s3.amazonaws.com/solotodo-core/media/cache/bb/c6/bbc6433dcc92c93360a2cebc0b98bf87.png
EVGA DG-75 (150-B0-2020-KR),89.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/42989-evga-dg-75-150-b0-2020-kr,https://solotodo-core.s3.amazonaws.com/media/cache/f5/60/f5600c887f02ff00cabf3fd80626b48a.png
EVGA DG-75 Alpine White (156-F1-2022-KR),89.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/43845-evga-dg-75-alpine-white-156-f1-2022-kr,https://s3.amazonaws.com/solotodo-core/media/cache/1d/d9/1dd9c658171497ff5799e771884ae62e.png
Cooler Master Silencio S600 TG (MCS-S600-KG5N-S00),89.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64686-cooler-master-silencio-s600-tg-mcs-s600-kg5n-s00,https://s3.amazonaws.com/solotodo-core/media/cache/ef/a5/efa57c381c65d78577a9c3f98a685419.png
In Win 305 - Black,89.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/40599-in-win-305-black,https://s3.amazonaws.com/solotodo-core/media/cache/85/15/8515468ae2112082b33384fd79bfaccd.png
Azza Titan 240 (CSAZ-240),89.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/34788-azza-titan-240-csaz-240,https://s3.amazonaws.com/solotodo-core/media/cache/57/50/5750ebd5b36042cb9425051835f8ee8a.png
EVGA DG-76 Apline White (166-W1-2232-KR),89.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43844-evga-dg-76-apline-white-166-w1-2232-kr,https://s3.amazonaws.com/solotodo-core/media/cache/06/a5/06a5457a5db7a75075549e579522fa9b.png
Thermaltake Commander C32 TG ARGB Edition (CA-1N3-00M1WN-00),95.201,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/63998-thermaltake-commander-c32-tg-argb-edition-ca-1n3-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/f7/5d/f75d8e49c8aee4761e2c3da813f022aa.png
Corsair Obsidian Series 450D (CC-9011049-WW),94.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/19741-corsair-obsidian-series-450d-cc-9011049-ww,https://s3.amazonaws.com/solotodo-core/media/cache/30/d4/30d4c28b07d3f8d0b360bab6f9eb1c5b.png
Gamemax Raider XT,99.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67623-gamemax-raider-xt,https://s3.amazonaws.com/solotodo-core/media/cache/ea/a2/eaa2eca1e2db23a66c5e8f3297cc253f.png
NZXT Manta - Black Windowless (CA-MANTC-M1),99.990,Mini ITX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/35236-nzxt-manta-black-windowless-ca-mantc-m1,https://s3.amazonaws.com/solotodo-core/media/cache/a7/14/a714463beda7fc09200f2eb7fb9dc6f9.png
Sharkoon CA200G Elite Shark,99.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/69994-sharkoon-ca200g-elite-shark,https://s3.amazonaws.com/solotodo-core/media/cache/8a/3d/8a3d2a3cbdab751f03586239cc5ea545.png
Sharkoon CA200M Elite Shark,99.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/69993-sharkoon-ca200m-elite-shark,https://s3.amazonaws.com/solotodo-core/media/cache/0a/f2/0af247139ff5828c7254b457219a94a2.png
NZXT Phantom 530 - Black (CA-PH530-B1),98.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25485-nzxt-phantom-530-black-ca-ph530-b1,https://s3.amazonaws.com/solotodo-core/media/cache/79/48/794833f6362b964378e75faf1e355842.png
NZXT Phantom - White (PHAN-001WT),98.900,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/25505-nzxt-phantom-white-phan-001wt,https://s3.amazonaws.com/solotodo-core/media/cache/ab/32/ab32da233c756e18ad7d636ead24148b.png
Corsair Carbide Series 500R - White (CC-9011013-WW),99.900,ATX,No posee,Inferior,Aluminio (Malla),https://www.solotodo.com/products/5962-corsair-carbide-series-500r-white-cc-9011013-ww,https://s3.amazonaws.com/solotodo-core/media/cache/b3/7c/b37c7fd213e981328143f661bdd1c229.png
Thermaltake Core P3 (CA-1G4-00M1WN-00),99.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/33573-thermaltake-core-p3-ca-1g4-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/f6/5c/f65c2a8d95992ce06059db87ebeb6163.png
Corsair Crystal Series 280X RGB - Black (CC-9011135-WW),109.990,Micro ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/53382-corsair-crystal-series-280x-rgb-black-cc-9011135-ww,https://s3.amazonaws.com/solotodo-core/media/cache/40/f0/40f094e0133a44114cb4c47c18e2b35d.png
Riotoro CR1280 PRISM RGB,111.100,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/30624-riotoro-cr1280-prism-rgb,https://s3.amazonaws.com/solotodo-core/media/cache/36/40/36408a0dac13f06b10779a743d6a54fa.png
Cooler Master MasterBox CM694 Tempered Glass (MCB-CM694-KG5N-S00),113.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64590-cooler-master-masterbox-cm694-tempered-glass-mcb-cm694-kg5n-s00,https://s3.amazonaws.com/solotodo-core/media/cache/72/14/72140323e59fac38b6009c1f833f62ea.png
Cooler Master MasterCase Maker 5 (MCZ-005M-KWN00),119.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/29721-cooler-master-mastercase-maker-5-mcz-005m-kwn00,https://s3.amazonaws.com/solotodo-core/media/cache/e2/d8/e2d8f9bfea7f7cfe258c2fd616fb1b09.png
Cooler Master MasterBox MB530P (MCB-B530P-KHNN-S01),119.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/53415-cooler-master-masterbox-mb530p-mcb-b530p-khnn-s01,https://s3.amazonaws.com/solotodo-core/media/cache/04/9d/049d15e1ceb5bc1edaae3cba0575277d.png
In Win 303C - Black,119.990,ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40596-in-win-303c-black,https://s3.amazonaws.com/solotodo-core/media/cache/a1/e3/a1e35f95ffec626c2696f9e484a0f208.png
In Win 303C - White,119.990,ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/40597-in-win-303c-white,https://s3.amazonaws.com/solotodo-core/media/cache/f6/f1/f6f1dd5d09dfc75824c5b73dd28f1ce7.png
Cooler Master MasterCase H500 (MCM-H500-IGNN-S00),119.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/52856-cooler-master-mastercase-h500-mcm-h500-ignn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/8c/98/8c9835059229584ffa503e4ea53311c2.png
Thermaltake View 31 Tempered Glass RGB Edition (CA-1H8-00M1WN-01),121.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/40695-thermaltake-view-31-tempered-glass-rgb-edition-ca-1h8-00m1wn-01,https://s3.amazonaws.com/solotodo-core/media/cache/f7/df/f7dfa6e9f44b424336b6b1b6a2373167.png
Corsair Carbide Series Clear 600C (CC-9011079-WW),118.900,Extended ATX,No posee,Superior,Acrílico,https://www.solotodo.com/products/36716-corsair-carbide-series-clear-600c-cc-9011079-ww,https://solotodo-core.s3.amazonaws.com/media/cache/06/7b/067b7d85e7b1a87c5a6b4b7cb7296a97.png
Cooler Master Storm Trooper (SGC-5000-KWN1),118.900,XL-ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/28832-cooler-master-storm-trooper-sgc-5000-kwn1,https://s3.amazonaws.com/solotodo-core/media/cache/90/ef/90ef6890bccfe9923a7ae0ed2b38bb4f.png
Corsair Crystal Series 460X RGB - White (CC-9011129-WW),119.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43413-corsair-crystal-series-460x-rgb-white-cc-9011129-ww,https://s3.amazonaws.com/solotodo-core/media/cache/d6/12/d612ebffeb6d3f7888b5157eff643c26.png
NZXT Phantom - Black (PHAN-001BK),119.900,Extended ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/25504-nzxt-phantom-black-phan-001bk,https://solotodo-core.s3.amazonaws.com/media/cache/f8/ce/f8ce639f6951ed787e4204fff21555c7.png
Corsair Crystal Series 460X (CC-9011099-WW),124.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/31633-corsair-crystal-series-460x-cc-9011099-ww,https://s3.amazonaws.com/solotodo-core/media/cache/41/b6/41b69e423ef7b3eb0470d06ac2abfc28.png
Azza Storm 6000B (CSAZ-6000RGB/W/B),125.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/44688-azza-storm-6000b-csaz-6000rgbwb,https://s3.amazonaws.com/solotodo-core/media/cache/d5/4a/d54a5fc7506d76a9e7824f3b9481f405.png
Cougar Gemini T (106KMT0004-01),129.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70400-cougar-gemini-t-106kmt0004-01,https://s3.amazonaws.com/solotodo-core/media/cache/f7/e2/f7e27949f623d905902425e49f7556e5.png
Corsair Crystal Series 280X RGB - White (CC-9011137-WW),129.990,Micro ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/53383-corsair-crystal-series-280x-rgb-white-cc-9011137-ww,https://s3.amazonaws.com/solotodo-core/media/cache/f0/8c/f08c8e4dd581741d136b611fa0356b0b.png
DeepCool GamerStorm New Ark 90SE (DP-ATX-NARK90SE),129.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/62942-deepcool-gamerstorm-new-ark-90se-dp-atx-nark90se,https://s3.amazonaws.com/solotodo-core/media/cache/4c/94/4c940c5d532a7ec954fd71fd6910feed.png
Fractal Design Meshify S2 - White (FD-CA-MESH-S2-WT-TGC),129.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65508-fractal-design-meshify-s2-white-fd-ca-mesh-s2-wt-tgc,https://s3.amazonaws.com/solotodo-core/media/cache/aa/90/aa90985160ddb72e01ba6bb80bbdb984.png
Corsair Crystal Series 460X RGB (CC-9011101-WW),132.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/31634-corsair-crystal-series-460x-rgb-cc-9011101-ww,https://s3.amazonaws.com/solotodo-core/media/cache/1b/fe/1bfe7054f3a66df9a5a29fd9ea67b26a.png
Thermaltake Level 10 GT (VN10001W2N),129.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5549-thermaltake-level-10-gt-vn10001w2n,https://s3.amazonaws.com/solotodo-core/media/cache/c6/ec/c6ec44814b95085e1ff3b3ed252620e4.png
Cooler Master MasterCase H500P Mesh White (MCM-H500P-WGNN-S00),134.976,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/46282-cooler-master-mastercase-h500p-mesh-white-mcm-h500p-wgnn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/c4/a5/c4a50c1955d287d8b81bfe775ccbf39f.png
In Win 805 - Red,135.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/29764-in-win-805-red,https://s3.amazonaws.com/solotodo-core/media/cache/0a/97/0a977496003f9859dedd3e4751fe8e3c.png
Cooler Master MasterCase MC500Mt (MCM-M500T-RH5N-S00),139.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/45226-cooler-master-mastercase-mc500mt-mcm-m500t-rh5n-s00,https://s3.amazonaws.com/solotodo-core/media/cache/d2/5f/d25f9fdc8d6b7c4d4940f607c82f52ee.png
Fractal Design Meshify S2 - Black (FD-CA-MESH-S2-BKO-TGL),139.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65507-fractal-design-meshify-s2-black-fd-ca-mesh-s2-bko-tgl,https://solotodo-core.s3.amazonaws.com/media/cache/f8/bc/f8bca8e489822bb56d339df33000dabb.png
Thermaltake Chaser MK-I (VN300M1W2N),139.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/5545-thermaltake-chaser-mk-i-vn300m1w2n,https://s3.amazonaws.com/solotodo-core/media/cache/bf/be/bfbe577938f7383814615b55b9ba3aa3.png
Cooler Master MasterCase H500P Mesh (MCM-H500P-MGNN-S10),148.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65129-cooler-master-mastercase-h500p-mesh-mcm-h500p-mgnn-s10,https://s3.amazonaws.com/solotodo-core/media/cache/49/d4/49d437f9f882cf64045e957978eadf26.png
Riotoro GPX-100 Morpheus,149.568,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65064-riotoro-gpx-100-morpheus,https://s3.amazonaws.com/solotodo-core/media/cache/ea/97/ea970093eec6219b0d28b68230ea91da.png
Fractal Design Define R6 USB-C Tempered Glass White (FD-CA-DEF-R6C-WT-TGC),149.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65509-fractal-design-define-r6-usb-c-tempered-glass-white-fd-ca-def-r6c-wt-tgc,https://s3.amazonaws.com/solotodo-core/media/cache/1c/39/1c3992ec9642d19420113f466431391c.png
Fractal Design Define R6 USB-C Tempered Glass Blackout (FD-CA-DEF-R6C-BKO-TGL),149.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65484-fractal-design-define-r6-usb-c-tempered-glass-blackout-fd-ca-def-r6c-bko-tgl,https://s3.amazonaws.com/solotodo-core/media/cache/0d/ae/0daea1d643b8f080ac43e1f6cbe9568a.png
Fractal Design Define R6 USB-C Tempered Glass Gunmetal (FD-CA-DEF-R6C-GY-TGL),149.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65511-fractal-design-define-r6-usb-c-tempered-glass-gunmetal-fd-ca-def-r6c-gy-tgl,https://s3.amazonaws.com/solotodo-core/media/cache/16/49/1649bf2421fe62aaac5814656a54e93a.png
Gamdias Talos P1,159.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60869-gamdias-talos-p1,https://solotodo-core.s3.amazonaws.com/media/cache/e5/89/e58979010b77d02d5760ea47ea56502d.png
Corsair Crystal Series 570X RGB (CC-9011098-WW),160.270,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43415-corsair-crystal-series-570x-rgb-cc-9011098-ww,https://s3.amazonaws.com/solotodo-core/media/cache/c8/07/c807709a46213008b655beeb17f3f531.png
NZXT Phantom 630 - Glossy White (CA-P630W-W1),159.900,XL-ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25491-nzxt-phantom-630-glossy-white-ca-p630w-w1,https://s3.amazonaws.com/solotodo-core/media/cache/23/74/2374d2c1ae48186d9549082618f8d718.png
NZXT Phantom 630 - Black (CA-P630W-M1),159.900,XL-ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25490-nzxt-phantom-630-black-ca-p630w-m1,https://s3.amazonaws.com/solotodo-core/media/cache/f1/d0/f1d0cf98b796aaca19ed6edd5fbeacee.png
DeepCool Gamer Storm Genome II,179.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/31204-deepcool-gamer-storm-genome-ii,https://s3.amazonaws.com/solotodo-core/media/cache/ea/22/ea220fa92740d486a4f5318015395fff.png
ASUS TUF Gaming GT501 (90DC0012-B40000),179.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60955-asus-tuf-gaming-gt501-90dc0012-b40000,https://s3.amazonaws.com/solotodo-core/media/cache/c5/3f/c53f35c3fc43c0e6bd9fc2a732c1bc66.png
Cooler Master MasterCase H500M (MCM-H500M-IHNN-S00),182.400,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60909-cooler-master-mastercase-h500m-mcm-h500m-ihnn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/18/d3/18d3a679e51273a56800d289ee5eef76.png
Cooler Master MasterCase SL600M (MCM-SL600M-SGNN-S00),184.290,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60956-cooler-master-mastercase-sl600m-mcm-sl600m-sgnn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/63/2f/632fd56dadd69ccfe57a4f6ea0f00f3d.png
Corsair Graphite Series 760T - Artic White (CC-9011074-WW),189.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/27257-corsair-graphite-series-760t-artic-white-cc-9011074-ww,https://s3.amazonaws.com/solotodo-core/media/cache/27/f9/27f9c23fced7e02366d7629fb95b4192.png
In Win 805 Infinity,199.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/29967-in-win-805-infinity,https://s3.amazonaws.com/solotodo-core/media/cache/31/fc/31fc8c3cd6d9c6127224959ba2f818dd.png
Fractal Design Define S2 Vision RGB (FD-CA-DEF-S2V-RGB-BKO-TGD),199.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65512-fractal-design-define-s2-vision-rgb-fd-ca-def-s2v-rgb-bko-tgd,https://s3.amazonaws.com/solotodo-core/media/cache/8e/1e/8e1efdda4f3901f9f0751a58751178b8.png
Gamemax Hot Wheels,245.900,ATX,No posee,Lateral,Acrílico,https://www.solotodo.com/products/60677-gamemax-hot-wheels,https://s3.amazonaws.com/solotodo-core/media/cache/cf/2d/cf2de8d9a8b1f8b5ca8a03a78fafd34b.png
Gamemax Hot Wheels (Silver),245.900,ATX,No posee,Lateral,Acrílico,https://www.solotodo.com/products/77130-gamemax-hot-wheels-silver,https://s3.amazonaws.com/solotodo-core/media/cache/80/55/8055d19b981e84352e5d48f81336373c.png
Cooler Master Cosmos C700P Black Edition (MCC-C700P-KG5N-S00),299.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64589-cooler-master-cosmos-c700p-black-edition-mcc-c700p-kg5n-s00,https://solotodo-core.s3.amazonaws.com/media/cache/6d/f0/6df096f2d4d2d8f82c7b13bf376dd646.png
ASUS ROG Strix Helios (90DC0020-B30000),307.440,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67340-asus-rog-strix-helios-90dc0020-b30000,https://s3.amazonaws.com/solotodo-core/media/cache/da/44/da44402993fcb9c73c791dcf185aba01.png
DeepCool GamerStorm Quadstellar (DP-EATX-QUADSTLR),339.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/51943-deepcool-gamerstorm-quadstellar-dp-eatx-quadstlr,https://solotodo-core.s3.amazonaws.com/media/cache/47/69/4769506e7845f44e03421f18f089af64.png
Cooler Master Cosmos C700M (MCC-C700M-MG5N-S00),399.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/61298-cooler-master-cosmos-c700m-mcc-c700m-mg5n-s00,https://s3.amazonaws.com/solotodo-core/media/cache/22/7a/227a22f0bb1c459f9efc8d84c2b01d72.png
