nombre,precio,socket,chipset,memorias,formato,tipomemoria,link,imagen
Gigabyte GA-Z270M-D3H,115900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/36032-gigabyte-ga-z270m-d3h,https://s3.amazonaws.com/solotodo-core/media/cache/40/94/4094fc019fa38b337ff46cbb3ed184c5.png
Gigabyte B360 AORUS GAMING 3 WIFI,119900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/45024-gigabyte-b360-aorus-gaming-3-wifi,https://solotodo-core.s3.amazonaws.com/media/cache/cf/3e/cf3e2fde76f913128239f3ce23b2d7c9.png
ASUS TUF B360M-PLUS GAMING,119990,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/45546-asus-tuf-b360m-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/57/7a/577ac04e810d674c32c228b290599f8a.png
MSI Z270 GAMING M3,117900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/32368-msi-z270-gaming-m3,https://s3.amazonaws.com/solotodo-core/media/cache/bf/80/bf808ab3f0e4b56ad4dfc3aabf8efa9a.png
ASUS ROG STRIX B360-H GAMING,118900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/44658-asus-rog-strix-b360-h-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/14/9b/149b4e099741309974414fe9d92ff641.png
ASUS TUF B365-PLUS GAMING,119900,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/72839-asus-tuf-b365-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/d4/80/d4800f93f2487a2518b84cbaf3ac0ce3.png
ASUS Z170-K,122900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/25198-asus-z170-k,https://s3.amazonaws.com/solotodo-core/media/cache/6e/3e/6e3ec12ea5bfa1d66f898c6ff769d6de.png
ASRock Fatal1ty B450 Gaming-ITX/ac,127900,AM4,AMD B450 (AM4),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/49278-asrock-fatal1ty-b450-gaming-itxac,https://s3.amazonaws.com/solotodo-core/media/cache/6f/02/6f026007a17ae594aa85818daf4586de.png
ASUS TUF B450-PLUS GAMING,124900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/50451-asus-tuf-b450-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/bb/82/bb8260a709d4ef3f7a7f9834628f67cf.png
MSI B450 TOMAHAWK,124900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/50189-msi-b450-tomahawk,https://s3.amazonaws.com/solotodo-core/media/cache/d9/27/d92741f8674d391e3e8c6534c8670c67.png
MSI Z270 KRAIT GAMING,125900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/32135-msi-z270-krait-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/76/76/767622c4076abbc0c4d409acaa47b88c.png
ASRock Z390M Pro4,130578,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/52310-asrock-z390m-pro4,https://s3.amazonaws.com/solotodo-core/media/cache/27/f3/27f35a4b0ea49e3871befbf0cfa096f8.png
MSI Z390-A PRO,127900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52308-msi-z390-a-pro,https://s3.amazonaws.com/solotodo-core/media/cache/da/b4/dab4c7132eb736e5eb35b65d25f111a1.png
Gigabyte Z390 D,131900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/71805-gigabyte-z390-d,https://s3.amazonaws.com/solotodo-core/media/cache/1e/01/1e01200e3b7b2a016c8513c57322a22d.png
ASRock Z390 Phantom Gaming 4S,132886,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/62116-asrock-z390-phantom-gaming-4s,https://s3.amazonaws.com/solotodo-core/media/cache/16/0f/160f0c47528a7f72aef209fedbd3070b.png
ASRock Z390 Pro4,129900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53905-asrock-z390-pro4,https://s3.amazonaws.com/solotodo-core/media/cache/b1/83/b1832141141f44347a607292562dc896.png
MSI Z270 GAMING M5,129900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/31105-msi-z270-gaming-m5,https://s3.amazonaws.com/solotodo-core/media/cache/09/e9/09e9e4da293c47a30f96ee33124b8f05.png
Gigabyte B450 AORUS PRO WIFI,134990,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49375-gigabyte-b450-aorus-pro-wifi,https://s3.amazonaws.com/solotodo-core/media/cache/74/21/74214e21ff8cdb09db93fe020dcdd77c.png
ASUS ROG STRIX B450-F GAMING,135990,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49372-asus-rog-strix-b450-f-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/57/9b/579b0a5ef31b2abce0e9ded186496751.png
Gigabyte GA-Z170-GAMING K3,137000,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/26762-gigabyte-ga-z170-gaming-k3-rev-10,https://s3.amazonaws.com/solotodo-core/media/cache/7a/31/7a31ddb09ae3423b479aa9ce964ca70a.png
ASUS ROG STRIX B365-F GAMING,134900,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/71967-asus-rog-strix-b365-f-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/f6/11/f61138604036a5bd5e19064c0e5d2637.png
ASUS PRIME Z390-P,138990,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/58292-asus-prime-z390-p,https://s3.amazonaws.com/solotodo-core/media/cache/82/46/824664a47216e0fff4826d96e565ba59.png
MSI MPG Z390 GAMING PLUS,143990,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52307-msi-mpg-z390-gaming-plus,https://s3.amazonaws.com/solotodo-core/media/cache/7b/c2/7bc2692400ed9bd9c29c83caf10a4406.png
Gigabyte Z390 UD,144799,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52309-gigabyte-z390-ud,https://s3.amazonaws.com/solotodo-core/media/cache/95/06/9506c2a0462bc0313a42fc56ed741c5f.png
ASUS TUF X470-PLUS GAMING,144990,AM4,AMD X470 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/46581-asus-tuf-x470-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/15/5e/155efa7f2e26588861464649d9a94ca3.png
Gigabyte Z390 M GAMING,153890,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/60147-gigabyte-z390-m-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/c0/07/c007fb158634169dbb03f81767a57e15.png
ASUS Maximus VIII Ranger,149900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/25191-asus-maximus-viii-ranger,https://s3.amazonaws.com/solotodo-core/media/cache/3f/3e/3f3e0dc82ad9350ad501745eb46c5ad1.png
ASRock Z390 Phantom Gaming 6,155900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53324-asrock-z390-phantom-gaming-6,https://s3.amazonaws.com/solotodo-core/media/cache/34/c0/34c0e5c27a94ca905ce747cc22bfde35.png
ASRock Z390 Steel Legend,163500,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/73245-asrock-z390-steel-legend,https://solotodo-core.s3.amazonaws.com/media/cache/65/95/6595ecd3e2e01f9dde4dcd98e1d9a5a9.png
Gigabyte GA-Z270N-GAMING 5,159900,LGA 1151,Intel Z270 (LGA 1151),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/38181-gigabyte-ga-z270n-gaming-5,https://s3.amazonaws.com/solotodo-core/media/cache/0f/94/0f9489665c533fe98a0b91b0392b45e1.png
ASUS TUF Z390-PLUS GAMING,169900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52304-asus-tuf-z390-plus-gaming-wi-fi,https://s3.amazonaws.com/solotodo-core/media/cache/d4/2d/d42dea562a5fd4bbb082b5ee51cfbe8c.png
ASRock X570 Phantom Gaming 4,166900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64741-asrock-x570-phantom-gaming-4,https://s3.amazonaws.com/solotodo-core/media/cache/68/fe/68fe0f1d8c36b4cc6ba619ec4852965c.png
ASUS PRIME Z390-A,171990,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53325-asus-prime-z390-a,https://s3.amazonaws.com/solotodo-core/media/cache/a7/89/a789731bcac8511d523748a40f051dbe.png
ASUS TUF Z390M-PRO GAMING,169900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/53664-asus-tuf-z390m-pro-gaming-wi-fi,https://s3.amazonaws.com/solotodo-core/media/cache/6b/72/6b72e3fb8116ed9f36582090015287fd.png
ASUS TUF Z370-PLUS GAMING,174990,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/40161-asus-tuf-z370-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/9f/44/9f4467ef25655c58f3d6a9867bf1c8b8.png
ASUS PRIME X570-P,174990,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/63606-asus-prime-x570-p,https://s3.amazonaws.com/solotodo-core/media/cache/b3/68/b368687e5449e59c7a10d4392d488bbc.png
MSI MAG Z390 TOMAHAWK,170900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52305-msi-mag-z390-tomahawk,https://s3.amazonaws.com/solotodo-core/media/cache/6c/75/6c75da015edb739ba63e32488a73cc8a.png
ASUS TUF Z390-PRO GAMING,176900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53663-asus-tuf-z390-pro-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/34/b9/34b91e3512957bca347b0fcce204a168.png
MSI X570-A PRO,174900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65055-msi-x570-a-pro,https://s3.amazonaws.com/solotodo-core/media/cache/3c/96/3c966b8c9d2825b8ebc0895baa2c2420.png
ASRock X570 Phantom Gaming 4 WiFi ax,179990,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64587-asrock-x570-phantom-gaming-4-wifi-ax,https://s3.amazonaws.com/solotodo-core/media/cache/96/a8/96a89da9ad037b22fff61e193c5f81e5.png
ASUS TUF Z370-PLUS GAMING II,179990,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/55227-asus-tuf-z370-plus-gaming-ii,https://s3.amazonaws.com/solotodo-core/media/cache/c4/27/c427a511fe58594198c0f5060eb35e06.png
ASRock Fatal1ty Z370 Gaming-ITX/ac,179900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/42207-asrock-fatal1ty-z370-gaming-itxac,https://s3.amazonaws.com/solotodo-core/media/cache/ca/7f/ca7f7520ddc2851826539e5673b6476e.png
ASUS ROG STRIX Z390-H GAMING,179900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52285-asus-rog-strix-z390-h-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/d7/82/d7822eed0e065a74663fa3f5147ebf2f.png
Gigabyte GA-Z270X-UD5,180900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/38174-gigabyte-ga-z270x-ud5,https://solotodo-core.s3.amazonaws.com/media/cache/a0/ec/a0ecffb307cd9b355ce26b91ab0153da.png
ASRock X570 Pro4,187500,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64588-asrock-x570-pro4,https://s3.amazonaws.com/solotodo-core/media/cache/07/67/0767637a6d2104a2bf9473173f20b0df.png
MSI MPG X570 GAMING PLUS,188900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/63831-msi-mpg-x570-gaming-plus,https://s3.amazonaws.com/solotodo-core/media/cache/2a/d3/2ad3b827f64c41b004a3e3b54407b73b.png
Gigabyte X570 UD,189900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/67586-gigabyte-x570-ud,https://s3.amazonaws.com/solotodo-core/media/cache/cb/7a/cb7aceecb478af89ca8ab4fe1e82a34d.png
MSI MPG Z390 GAMING PRO CARBON,187900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/54273-msi-mpg-z390-gaming-pro-carbon,https://s3.amazonaws.com/solotodo-core/media/cache/3c/8c/3c8cbb3cfdc9bbf60dbd7358fa34481b.png
ASUS ROG STRIX Z390-I GAMING,189900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/54292-asus-rog-strix-z390-i-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/74/39/74390ffbc57c54956a8701739320c3b4.png
MSI Z170A XPOWER GAMING TITANIUM EDITION,199900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/25201-msi-z170a-xpower-gaming-titanium-edition,https://s3.amazonaws.com/solotodo-core/media/cache/bb/fa/bbfa55ad24305d233535913775d95f7f.png
ASUS TUF GAMING X570-PLUS,219488,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65225-asus-tuf-gaming-x570-plus,https://s3.amazonaws.com/solotodo-core/media/cache/38/56/3856c20b6bab8a09fa96d79f0654da80.png
ASUS ROG Maximus VIII Hero Alpha,199900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/30394-asus-rog-maximus-viii-hero-alpha,https://s3.amazonaws.com/solotodo-core/media/cache/75/b5/75b5e1c64ca1750f13c163877aa7a986.png
Gigabyte Z390 AORUS ELITE,209760,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52501-gigabyte-z390-aorus-elite,https://s3.amazonaws.com/solotodo-core/media/cache/68/38/68388b5a851ff3862cb78c21ab6eea58.png
Gigabyte Z390 DESIGNARE,211736,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53904-gigabyte-z390-designare,https://s3.amazonaws.com/solotodo-core/media/cache/1c/15/1c151a9c4613cdd117e37f2b9807cd13.png
ASRock X570 Steel Legend,209900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64092-asrock-x570-steel-legend,https://s3.amazonaws.com/solotodo-core/media/cache/83/92/83926fbd7a69b669a805ad97e5ed2a40.png
ASRock X570M Pro4,216173,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/76872-asrock-x570m-pro4,https://s3.amazonaws.com/solotodo-core/media/cache/44/04/4404eff59b1267d7f2ac78c63c95e677.png
ASUS Maximus VIII Gene,210900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/22547-asus-maximus-viii-gene,https://s3.amazonaws.com/solotodo-core/media/cache/89/27/892791506bbe19edaaa3df6215f1fb4d.png
ASRock X570 Steel Legend WiFi ax,219900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64854-asrock-x570-steel-legend-wifi-ax,https://solotodo-core.s3.amazonaws.com/media/cache/66/c0/66c0aca9e48d877d2e5b0cef9d4948cf.png
ASUS TUF X299 MARK 2,224990,LGA 2066,Intel X299 (LGA 2066),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/39530-asus-tuf-x299-mark-2-90mb0ub0-m0aay0,https://s3.amazonaws.com/solotodo-core/media/cache/fb/8c/fb8cb743d4b0cadb36df503d3402b322.png
MSI X299 TOMAHAWK,234990,LGA 2066,Intel X299 (LGA 2066),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/37874-msi-x299-tomahawk,https://s3.amazonaws.com/solotodo-core/media/cache/55/62/5562a2d4a7965ac69c529163714e8342.png
MSI MPG X570 GAMING EDGE WIFI,237396,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/63830-msi-mpg-x570-gaming-edge-wifi,https://solotodo-core.s3.amazonaws.com/media/cache/6e/d1/6ed1aa4a4f23079a866e96273dc4eff7.png
Gigabyte X570 AORUS ELITE,239900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65454-gigabyte-x570-aorus-elite,https://s3.amazonaws.com/solotodo-core/media/cache/3f/48/3f48593a9d2f16caa4d24419cf1adebf.png
Gigabyte Z390 AORUS ULTRA,259900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52298-gigabyte-z390-aorus-ultra,https://s3.amazonaws.com/solotodo-core/media/cache/0e/4b/0e4b366374c60eb26f4137fdada7830e.png
MSI X370 XPOWER GAMING TITANIUM,255900,AM4,AMD X370 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/35065-msi-x370-xpower-gaming-titanium,https://s3.amazonaws.com/solotodo-core/media/cache/b0/4a/b04a5edb6bde01f5a33c23e53751befd.png
MSI MEG Z390 ACE,275390,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52297-msi-meg-z390-ace,https://s3.amazonaws.com/solotodo-core/media/cache/38/0f/380f01e2f25d5b53a7d1ff58eb0825e8.png
ASUS ROG STRIX Z390-E GAMING,273900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52834-asus-rog-strix-z390-e-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/3e/6c/3e6cc187d36cde416fd047efd5a73bdb.png
ASRock Fatal1ty Z370 Professional Gaming i7,269900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/41658-asrock-fatal1ty-z370-professional-gaming-i7,https://s3.amazonaws.com/solotodo-core/media/cache/87/4f/874f272c5aaf6e2d48af506c5e351730.png
MSI MPG X570 GAMING PRO CARBON WIFI,276900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64853-msi-mpg-x570-gaming-pro-carbon-wifi,https://s3.amazonaws.com/solotodo-core/media/cache/99/b0/99b08568fb520863830ebb0484a1f6c1.png
ASUS Z170-DELUXE,279900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/26179-asus-z170-deluxe,https://s3.amazonaws.com/solotodo-core/media/cache/fe/83/fe83ee11a8e6c9002f0cbebf1dbfbdba.png
ASUS ROG STRIX X299-E GAMING,299990,LGA 2066,Intel X299 (LGA 2066),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/39531-asus-rog-strix-x299-e-gaming-90mb0u50-m0aay0,https://s3.amazonaws.com/solotodo-core/media/cache/3d/3d/3d3daa1543ad9f73269f01fb487d59ef.png
ASUS PRIME X399-A,305490,TR4,AMD X399 (TR4),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/40666-asus-prime-x399-a,https://s3.amazonaws.com/solotodo-core/media/cache/61/f6/61f661ea3099956308ad41c79da4a938.png
ASUS ROG Maximus XI Hero,306900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/55419-asus-rog-maximus-xi-hero-wi-fi,https://s3.amazonaws.com/solotodo-core/media/cache/21/a1/21a10dfbab3a9ce090f919eec5773508.png
ASUS ROG Strix X570-F Gaming,312900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/66877-asus-rog-strix-x570-f-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/7b/60/7b60684e9cd808a66bc4a73a25eb94c4.png
ASRock X570 Taichi,318900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65128-asrock-x570-taichi,https://s3.amazonaws.com/solotodo-core/media/cache/f1/c3/f1c36a26778c5f271d7b63e01e6ca2cb.png
ASUS ROG Maximus XI CODE,339900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/71929-asus-rog-maximus-xi-code,https://s3.amazonaws.com/solotodo-core/media/cache/11/b2/11b2d588fe0573fb204a6d5c6a6fa37e.png
Gigabyte Z390 AORUS MASTER,358900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/58702-gigabyte-z390-aorus-master,https://s3.amazonaws.com/solotodo-core/media/cache/72/52/72525cf087ed9a232235b59394ba6299.png
MSI MEG X570 ACE,359990,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/66157-msi-meg-x570-ace,https://s3.amazonaws.com/solotodo-core/media/cache/44/57/4457d4b5fdafda64d5ee4a9231e756df.png
ASUS ROG Crosshair VIII Hero,398886,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64091-asus-rog-crosshair-viii-hero-wi-fi,https://s3.amazonaws.com/solotodo-core/media/cache/f7/98/f798d36821e498d3156e1b06cc68635f.png
ASUS ROG Maximus XI Formula,419900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53902-asus-rog-maximus-xi-formula,https://s3.amazonaws.com/solotodo-core/media/cache/05/e6/05e679f7f6445aac1abc0268db0c6b0c.png
ASUS ROG MAXIMUS XI GENE,459000,LGA 1151-v2,Intel Z370 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/71253-asus-rog-maximus-xi-gene,https://solotodo-core.s3.amazonaws.com/media/cache/b3/8d/b38d9e97625ffeac87a67f044beb8da9.png
Gigabyte TRX40 AORUS PRO WIFI,465339,sTRX4,AMD TRX40 (sTRX4),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/70528-gigabyte-trx40-aorus-pro-wifi,https://s3.amazonaws.com/solotodo-core/media/cache/03/fd/03fdc338047b4e433999da0d987fd240.png
ASUS ROG Crosshair VIII Impact,499990,AM4,AMD X570 (AM4),2x DDR4,Mini DTX,DDR4,https://www.solotodo.com/products/71254-asus-rog-crosshair-viii-impact,https://s3.amazonaws.com/solotodo-core/media/cache/c1/ef/c1ef9c572ce487c7e4b1c988295646e2.png
MSI TRX40 PRO WIFI,522490,sTRX4,AMD TRX40 (sTRX4),8x DDR4,ATX,DDR4,https://www.solotodo.com/products/76241-msi-trx40-pro-wifi,https://s3.amazonaws.com/solotodo-core/media/cache/f6/1b/f61b13c089e26ee7924c934ba4c0101f.png
MSI MEG X570 GODLIKE,679990,AM4,AMD X570 (AM4),4x DDR4,Extended ATX,DDR4,https://www.solotodo.com/products/66155-msi-meg-x570-godlike,https://s3.amazonaws.com/solotodo-core/media/cache/1e/dd/1edd4d2d7499c54bd45aa5fdd0781fdf.png
