formato,fuente_poder,nombre,panel_lateral,precio,ubicacion_fuente,ventiladores,z_link
"ATX,Mini ITX,Micro ATX,ATX,ATX,Micro ATX,Micro ATX,Micro ATX,Micro ATX,Micro ATX,Micro ATX,Micro ATX","650 W.,500 W.,No posee,650 W.,650 W.,200 W.,350 W.,600 W.,500 W.,No posee,No posee,No posee","Clio 6802 (KB-6802),Clio S101 B (S101 B),Cougar MG110 (385JMP0.0001),Redfox 5851BS,Sunshine Q5B,Spektra Poison 25M,Multimarca S605,XTech XTQ-100,XTech XTQ-103,Gamemax Expedition H605 - Blue,Gamemax Expedition H605 - White,Gamemax Expedition - Blue","Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Acrílico,Acrílico,Acrílico","$ 19.990,$ 19.990,$ 20.900,$ 20.900,$ 21.990,$ 22.990,$ 22.900,$ 23.900,$ 23.990,$ 24.225,$ 24.225,$ 24.900","Inferior,Superior,Inferior,Superior,Superior,Superior,Superior,Superior,Superior,Inferior,Inferior,Inferior","1 x 80 mm,1 x 120 mm,1 x 80 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm","https://www.solotodo.com/products/5682-clio-6802-kb-6802,https://www.solotodo.com/products/15386-clio-s101-b-s101-b,https://www.solotodo.com/products/39448-cougar-mg110-385jmp00001,https://www.solotodo.com/products/7720-redfox-5851bs,https://www.solotodo.com/products/53920-sunshine-q5b,https://www.solotodo.com/products/60877-spektra-poison-25m,https://www.solotodo.com/products/5719-multimarca-s605,https://www.solotodo.com/products/41043-xtech-xtq-100,https://www.solotodo.com/products/40546-xtech-xtq-103,https://www.solotodo.com/products/65517-gamemax-expedition-h605-blue,https://www.solotodo.com/products/65518-gamemax-expedition-h605-white,https://www.solotodo.com/products/62090-gamemax-expedition-blue"
"Micro ATX,Micro ATX,Micro ATX,ATX,ATX,ATX,Micro ATX,ATX,Micro ATX,ATX,Micro ATX,ATX","No posee,500 W.,No posee,No posee,600 W.,650 W.,650 W.,230 W.,230 W.,No posee,No posee,No posee","Gamemax Expedition H605 - Red,Clio S603 Plus,Gamemax Expedition H605 - Black,Infor-Ingen IS03-R,Infor-Ingen IS03-B,Clio 5830,Sunshine S605BK,Spektra Leeroy V2.0,Spektra One,Infor-Ingen IS11,Cougar MG130-G (385TM10.0002),Cougar MX330-G (385NC10.0006)","Acrílico,Aluminio (Cubierto),Acrílico,Acrílico,Acrílico,Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Aluminio (Cubierto),Acrílico,Vidrio templado,Vidrio templado","$ 24.900,$ 24.990,$ 25.900,$ 26.900,$ 26.900,$ 27.990,$ 28.990,$ 29.990,$ 29.990,$ 29.900,$ 31.900,$ 31.900","Inferior,Superior,Inferior,Superior,Superior,Superior,Superior,Superior,Superior,Superior,Inferior,Inferior","1 x 120 mm,1 x 120 mm,1 x 80 mm,1 x 80 mm,1 x 80 mm,1 x 80 mm,1 x 80 mm,1 x 120 mm,1 x 120 mm","https://www.solotodo.com/products/65913-gamemax-expedition-h605-red,https://www.solotodo.com/products/33245-clio-s603-plus,https://www.solotodo.com/products/65516-gamemax-expedition-h605-black,https://www.solotodo.com/products/39271-infor-ingen-is03-r,https://www.solotodo.com/products/39270-infor-ingen-is03-b,https://www.solotodo.com/products/5555-clio-5830,https://www.solotodo.com/products/29759-sunshine-s605bk,https://www.solotodo.com/products/60879-spektra-leeroy-v20,https://www.solotodo.com/products/60878-spektra-one,https://www.solotodo.com/products/73568-infor-ingen-is11,https://www.solotodo.com/products/70181-cougar-mg130-g-385tm100002,https://www.solotodo.com/products/70182-cougar-mx330-g-385nc100006"
"ATX,ATX,ATX,ATX,ATX,ATX,Mini ITX,ATX,ATX,ATX,Extended ATX,ATX","No posee,No posee,No posee,No posee,No posee,450 W.,450 W.,No posee,No posee,No posee,No posee,No posee","XTech Delirium (XT-GMR1),XTech Environ (XT-GMR2),Gamemax Matrix G562 (RGB),Cougar MX330 (385NC10.0002),Azza Sirius 206 (CSAZ-206),Sentey SS2-2219,Sentey SS5-2514,Fantech Strike CG72 RGB - Black,Fantech Pulse CG71 RGB - White,Thermaltake Versa H24 Window (CA-1C1-00M1WN-00),DeepCool E-Shield (DP-ATX-E-SHIELD),Corsair Carbide Series SPEC-04 - Black / Red (CC-9011107-WW)","Acrílico,Acrílico,Acrílico,Acrílico,Acrílico,Aluminio (Cubierto),Aluminio (Cubierto),Vidrio templado,Vidrio templado,Acrílico,Vidrio templado,Acrílico","$ 34.900,$ 34.900,$ 36.661,$ 36.900,$ 36.900,$ 38.990,$ 38.990,$ 39.520,$ 39.520,$ 38.900,$ 39.990,$ 39.900","Inferior,Inferior,Superior,Inferior,Inferior,Inferior,Superior,Inferior,Inferior,Inferior,Inferior,Inferior","1 x 120 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm,1 x 60 mm,1 x 60 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm","https://www.solotodo.com/products/55044-xtech-delirium-xt-gmr1,https://www.solotodo.com/products/55043-xtech-environ-xt-gmr2,https://www.solotodo.com/products/47810-gamemax-matrix-g562-rgb,https://www.solotodo.com/products/42511-cougar-mx330-385nc100002,https://www.solotodo.com/products/44687-azza-sirius-206-csaz-206,https://www.solotodo.com/products/14714-sentey-ss2-2219,https://www.solotodo.com/products/5556-sentey-ss5-2514,https://www.solotodo.com/products/67621-fantech-strike-cg72-rgb-black,https://www.solotodo.com/products/67619-fantech-pulse-cg71-rgb-white,https://www.solotodo.com/products/37422-thermaltake-versa-h24-window-ca-1c1-00m1wn-00,https://www.solotodo.com/products/60875-deepcool-e-shield-dp-atx-e-shield,https://www.solotodo.com/products/43414-corsair-carbide-series-spec-04-black-red-cc-9011107-ww"
"ATX,ATX,ATX,ATX,ATX,ATX,ATX,ATX,ATX,ATX,ATX,Extended ATX","No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee","Corsair Carbide Series SPEC-04 - Black / Gray (CC-9011109-WW),Aerocool Strike-X One,Gamemax 9527,Thermaltake V3 AMD Edition (VL800P1W2N),PCYES VTI - Green,Marvo CA-211,Apexgaming A2 - Black,Apexgaming A2 - White,DeepCool Tesseract WH SW,DeepCool Tesseract SW,DeepCool Tesseract SW RD,Apexgaming Hermès S1","Acrílico,Aluminio (Cubierto),Aluminio (Malla),Acrílico,Acrílico,Acrílico,Aluminio (Cubierto),Aluminio (Cubierto),Acrílico,Acrílico,Acrílico,Aluminio (Cubierto)","$ 39.900,$ 39.900,$ 39.900,$ 39.900,$ 39.900,$ 39.900,$ 40.990,$ 40.990,$ 43.990,$ 44.990,$ 44.990,$ 44.990","Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior","1 x 120 mm,1 x 120 mm,2 x 120 mm,1 x 200 mm,1 x 120 mm,3 x 120 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm,2 x 120 mm,2 x 120 mm,1 x 120 mm","https://www.solotodo.com/products/40584-corsair-carbide-series-spec-04-black-gray-cc-9011109-ww,https://www.solotodo.com/products/22373-aerocool-strike-x-one,https://www.solotodo.com/products/30527-gamemax-9527,https://www.solotodo.com/products/8175-thermaltake-v3-amd-edition-vl800p1w2n,https://www.solotodo.com/products/57661-pcyes-vti-green,https://www.solotodo.com/products/54676-marvo-ca-211,https://www.solotodo.com/products/70002-apexgaming-a2-black,https://www.solotodo.com/products/70003-apexgaming-a2-white,https://www.solotodo.com/products/40582-deepcool-tesseract-wh-sw,https://www.solotodo.com/products/27564-deepcool-tesseract-sw,https://www.solotodo.com/products/27566-deepcool-tesseract-sw-rd,https://www.solotodo.com/products/70004-apexgaming-hermes-s1"
"ATX,ATX,Mini ITX,ATX,ATX,ATX,ATX,ATX,Micro ATX,Extended ATX,Extended ATX,ATX","No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee","Thermaltake Commander MS-I Epic Edition (VN400A1W2N-B),Gamemax G539 Nexus RGB,Riotoro CR280,Cooler Master MasterBox MB520 - Red (MCB-B520-KANN-S00),Gamemax 9536 G536,Gamemax 9536 G536 Black,Thermaltake Core V31 (CA-1C8-00M1WN-00),Riotoro CR400,Thermaltake LANBOX Lite VF6000BNS,DeepCool Matrexx 50 (DP-ATX-MATREXX50),Apexgaming X1,Thermaltake Commander MS-I (VN400A1W2N)","Acrílico,Acrílico,Acrílico,Acrílico,Acrílico,Acrílico,Acrílico,Acrílico,Aluminio (Cubierto),Vidrio templado,Vidrio templado,Acrílico","$ 44.900,$ 44.900,$ 46.448,$ 46.900,$ 45.900,$ 45.900,$ 48.900,$ 49.014,$ 49.900,$ 49.990,$ 49.990,$ 48.900","Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Superior,Inferior,Inferior,Inferior","1 x 120 mm,3 x 120 mm,2 x 120 mm,1 x 120 mm,3 x 120 mm,3 x 120 mm,2 x 120 mm,3 x 120 mm,1 x 60 mm,1 x 80 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm","https://www.solotodo.com/products/5956-thermaltake-commander-ms-i-epic-edition-vn400a1w2n-b,https://www.solotodo.com/products/73253-gamemax-g539-nexus-rgb,https://www.solotodo.com/products/30933-riotoro-cr280,https://www.solotodo.com/products/52838-cooler-master-masterbox-mb520-red-mcb-b520-kann-s00,https://www.solotodo.com/products/26815-gamemax-9536-g536,https://www.solotodo.com/products/26835-gamemax-9536-g536-black,https://www.solotodo.com/products/21721-thermaltake-core-v31-ca-1c8-00m1wn-00,https://www.solotodo.com/products/59733-riotoro-cr400,https://www.solotodo.com/products/21044-thermaltake-lanbox-lite-vf6000bns,https://www.solotodo.com/products/64530-deepcool-matrexx-50-dp-atx-matrexx50,https://www.solotodo.com/products/70009-apexgaming-x1,https://www.solotodo.com/products/5530-thermaltake-commander-ms-i-vn400a1w2n"
"ATX,Extended ATX,ATX,ATX,ATX,ATX,Extended ATX,Extended ATX,Extended ATX,ATX,ATX,Extended ATX","No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee","Azza Raven 420 (CSAZ-420),Gamemax Aurora W901 RGB,Raidmax Horus - Black (ATX-322WB),Thermaltake Versa H25 (Window) (CA-1C2-00M1WN-00),Cooler Master NR600 w/ ODD (MCB-NR600-KG5N-S00),Gamemax Polaris RGB,Apexgaming Hermès C1,Apexgaming Hermès C2,BitFenix Nova Mesh - Black (BFC-NVM-300-KKXSK-RP),Riotoro CR488,Cooler Master MasterBox Q500L (MCB-Q500L-KANN-S00),Cooler Master MasterBox Pro 5 (MCY-B5P2-KWGN-00)","Vidrio templado,Vidrio templado,Acrílico,Acrílico,Vidrio templado,Vidrio templado,Vidrio templado,Vidrio templado,Aluminio (Cubierto),Acrílico,Acrílico,Vidrio templado","$ 49.900,$ 49.900,$ 49.900,$ 49.900,$ 51.900,$ 51.900,$ 51.990,$ 51.990,$ 52.500,$ 52.990,$ 53.990,$ 52.900","Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Superior,Inferior","1 x 120 mm,1 x 120 mm,1 x 120 mm,2 x 120 mm,4 x 120 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm,2 x 120 mm,1 x 120 mm,1 x 120 mm","https://www.solotodo.com/products/62042-azza-raven-420-csaz-420,https://www.solotodo.com/products/65914-gamemax-aurora-w901-rgb,https://www.solotodo.com/products/20215-raidmax-horus-black-atx-322wb,https://www.solotodo.com/products/19901-thermaltake-versa-h25-window-ca-1c2-00m1wn-00,https://www.solotodo.com/products/68306-cooler-master-nr600-w-odd-mcb-nr600-kg5n-s00,https://www.solotodo.com/products/46739-gamemax-polaris-rgb,https://www.solotodo.com/products/70005-apexgaming-hermes-c1,https://www.solotodo.com/products/70007-apexgaming-hermes-c2,https://www.solotodo.com/products/70399-bitfenix-nova-mesh-black-bfc-nvm-300-kkxsk-rp,https://www.solotodo.com/products/51547-riotoro-cr488,https://www.solotodo.com/products/67339-cooler-master-masterbox-q500l-mcb-q500l-kann-s00,https://www.solotodo.com/products/46634-cooler-master-masterbox-pro-5-mcy-b5p2-kwgn-00"
"ATX,ATX,Micro ATX,Extended ATX,Extended ATX,ATX,Micro ATX,ATX,ATX,ATX,ATX,Extended ATX","No posee,No posee,450 W.,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee","Thermaltake View 21 Tempered Glass Edition (CA-1I3-00M1WN-00),Cooler Master MasterBox NR600 (MCB-NR600-KGNN-S00),Thermaltake Versa H17 Window + PSU 450W (CA-3J1-45S1WU-00),DeepCool Matrexx 55 RGB (DP-ATX-MATREXX55-AR),DeepCool Matrexx 55 RGB WH (DP-ATX-MATREXX55-AR-WH),Cooler Master MasterBox MS600 - White (MCB-MS600-WGNN-S00),Thermaltake LANBOX Lite VF6000BWS,Cooler Master MasterBox MB520 (MCB-B520-KGNN-S00),Nox Infinity Neon RGB,Thermaltake View 22 (CA-1J3-00M1WN-00),Cooler Master MasterBox 5t (MCX-B5S3T-RWNN),Gamemax Abyss M908","Vidrio templado,Vidrio templado,Acrílico,Vidrio templado,Vidrio templado,Vidrio templado,Acrílico,Vidrio templado,Vidrio templado,Vidrio templado,Acrílico,Acrílico","$ 54.900,$ 54.900,$ 54.990,$ 54.990,$ 54.990,$ 55.990,$ 54.900,$ 56.544,$ 57.220,$ 57.990,$ 57.900,$ 59.900","Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Superior,Inferior,Inferior,Inferior,Inferior,Inferior","1 x 120 mm,2 x 120 mm,1 x 120 mm,1 x 120 mm,1 x 60 mm,1 x 80 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm,2 x 120 mm,1 x 120 mm","https://www.solotodo.com/products/40551-thermaltake-view-21-tempered-glass-edition-ca-1i3-00m1wn-00,https://www.solotodo.com/products/71204-cooler-master-masterbox-nr600-mcb-nr600-kgnn-s00,https://www.solotodo.com/products/52705-thermaltake-versa-h17-window-psu-450w-ca-3j1-45s1wu-00,https://www.solotodo.com/products/56446-deepcool-matrexx-55-rgb-dp-atx-matrexx55-ar,https://www.solotodo.com/products/60870-deepcool-matrexx-55-rgb-wh-dp-atx-matrexx55-ar-wh,https://www.solotodo.com/products/64685-cooler-master-masterbox-ms600-white-mcb-ms600-wgnn-s00,https://www.solotodo.com/products/5538-thermaltake-lanbox-lite-vf6000bws,https://www.solotodo.com/products/65505-cooler-master-masterbox-mb520-mcb-b520-kgnn-s00,https://www.solotodo.com/products/68693-nox-infinity-neon-rgb,https://www.solotodo.com/products/43829-thermaltake-view-22-ca-1j3-00m1wn-00,https://www.solotodo.com/products/41037-cooler-master-masterbox-5t-mcx-b5s3t-rwnn,https://www.solotodo.com/products/62943-gamemax-abyss-m908"
"Extended ATX,ATX,ATX,Micro ATX,Micro ATX,Extended ATX,ATX,ATX,ATX,Extended ATX,ATX,ATX","No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee","Cougar Trofeo (385AMA0),Nox Hummer TGM,Nox Infinity Sigma,In Win 301 - White,In Win 301 - Black,BitFenix Nova Mesh TG - White (BFC-NVM-300-WWGKW-4A),Gamdias Argus E1,Sharkoon VG7-W RGB,Sharkoon VG6-W RGB,DeepCool Matrexx 55 V3 ADD-RGB (DP-ATX-MATREXX55V3-AR),NZXT Guardian 921RB - Red (921RB-001-RD),Cooler Master HAF 912 (RC-912-KKN1)","Vidrio templado,Vidrio templado,Vidrio templado,Vidrio templado,Vidrio templado,Vidrio templado,Acrílico,Acrílico,Acrílico,Vidrio templado,Acrílico,Aluminio (Cubierto)","$ 59.990,$ 59.990,$ 59.990,$ 59.990,$ 59.990,$ 59.990,$ 59.990,$ 59.990,$ 59.990,$ 59.990,$ 58.900,$ 59.900","Inferior,Inferior,Inferior,Superior,Superior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior","1 x 120 mm,4 x 120 mm,1 x 120 mm,4 x 120 mm,1 x 120 mm,3 x 120 mm,3 x 120 mm,3 x 120 mm,2 x 120 mm,1 x 140 mm","https://www.solotodo.com/products/63644-cougar-trofeo-385ama0,https://www.solotodo.com/products/68694-nox-hummer-tgm,https://www.solotodo.com/products/68543-nox-infinity-sigma,https://www.solotodo.com/products/40593-in-win-301-white,https://www.solotodo.com/products/40592-in-win-301-black,https://www.solotodo.com/products/67616-bitfenix-nova-mesh-tg-white-bfc-nvm-300-wwgkw-4a,https://www.solotodo.com/products/60871-gamdias-argus-e1,https://www.solotodo.com/products/63642-sharkoon-vg7-w-rgb,https://www.solotodo.com/products/63643-sharkoon-vg6-w-rgb,https://www.solotodo.com/products/76857-deepcool-matrexx-55-v3-add-rgb-dp-atx-matrexx55v3-ar,https://www.solotodo.com/products/25508-nzxt-guardian-921rb-red-921rb-001-rd,https://www.solotodo.com/products/5551-cooler-master-haf-912-rc-912-kkn1"
"ATX,ATX,Extended ATX,ATX,ATX,ATX,ATX,ATX,ATX,Mini ITX,Mini ITX,ATX","No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee,No posee","Aerocool Xpredator X1 - Black Edition,Cooler Master Storm Enforcer (SGC-1000-KWN1),Gamemax Abyss TR M908 TG,be quiet! Pure Base 600 - Black (BG021),be quiet! Pure Base 600 - Silver (BG022),In Win GT1 - White,Cooler Master MasterBox MS600 - Silver (MCB-MS600-SGNN-S00),Thermaltake View 27 Gull-Wing Window (CA-1G7-00M1WN-02),EVGA DG-73 (130-P0-0020-KR),NZXT H200 - Black / Blue (CA-H200B-BL),NZXT H200 - Black / Red (CA-H200B-BR),Cougar Turret (385QMY0)","Aluminio (Cubierto),Acrílico,Vidrio templado,Aluminio (Cubierto),Aluminio (Cubierto),Acrílico,Vidrio templado,Acrílico,Acrílico,Vidrio templado,Vidrio templado,Vidrio templado","$ 59.900,$ 59.900,$ 61.900,$ 62.990,$ 62.990,$ 63.980,$ 63.990,$ 62.900,$ 65.900,$ 64.900,$ 64.900,$ 66.900","Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior","2 x 120 mm,3 x 120 mm,1 x 200 mm,1 x 120 mm,1 x 120 mm,1 x 140 mm,1 x 120 mm,1 x 140 mm,1 x 120 mm,1 x 120 mm,1 x 120 mm,2 x 120 mm,2 x 120 mm,2 x 120 mm,2 x 120 mm","https://www.solotodo.com/products/22399-aerocool-xpredator-x1-black-edition,https://www.solotodo.com/products/8668-cooler-master-storm-enforcer-sgc-1000-kwn1,https://www.solotodo.com/products/65886-gamemax-abyss-tr-m908-tg,https://www.solotodo.com/products/51055-be-quiet-pure-base-600-black-bg021,https://www.solotodo.com/products/51054-be-quiet-pure-base-600-silver-bg022,https://www.solotodo.com/products/29907-in-win-gt1-white,https://www.solotodo.com/products/52855-cooler-master-masterbox-ms600-silver-mcb-ms600-sgnn-s00,https://www.solotodo.com/products/40559-thermaltake-view-27-gull-wing-window-ca-1g7-00m1wn-02,https://www.solotodo.com/products/42988-evga-dg-73-130-p0-0020-kr,https://www.solotodo.com/products/49141-nzxt-h200-black-blue-ca-h200b-bl,https://www.solotodo.com/products/49140-nzxt-h200-black-red-ca-h200b-br,https://www.solotodo.com/products/63645-cougar-turret-385qmy0"
